,cid,votes,含like,含like中文翻译
30141,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd79frLcXBKOmA,1,"this is a show. you only see her and some old people. but she has a whole team of people following her picking stuff up and doing everything. she only does a few things for the video and everyone else picks up the rest to look like she did a lot. 
you think this is what she does every day and she is recording her daily life. no. this whole thing is just a set.","这是一个节目。您只会看到她和一些老人。但是她有一个团队的团队跟随她的捡东西并做所有事情。她只为视频做了几件事，其他所有人都挑选了其余的东西，就像她做了很多。
您认为这是她每天都在做的事情，并且正在录制自己的日常生活。不。这整个事情只是一组。"
25707,Ugxwxl0rWPEg8TGb1Gd4AaABAg.9-5A_4K3TF290NnnvGAcox,1,"@maplewang5615 pair, like china on the tip of the tongue, is also taken by a team. it also costs a lot, and it is enough for the audience to see happiness. it is enough. the audience presented by youtuber saw the love and touched it, that was enough.",@maplewang5615 对呀，就像舌尖上的中国，也是一个团队拍摄的，还耗资不少，呈现出来的东西给观众看到开心，有感动，那就够了。youtuber呈现出来的作品观众看了喜欢，有感触，那就够了。
25695,Ugyw3mSIw8T9WNaWwE14AaABAg,1,"i have never seen in my life anyone like her, who can do so many things with nature and work as much as she does! great skills ! everything she does looks delicious and pretty. awesome! keep it up!",我从未见过像她这样的人，他们可以像她一样做很多事情，并且像她一样工作！伟大的技能！她所做的一切看起来都很美味可爱。惊人的！继续努力吧！
25644,Ugzwkz_OZuDAEU5zuxZ4AaABAg,1,nice. i like chinese cuisine. fast cook and tasty.,好的。我喜欢中国美食。快速烹饪和美味。
37654,Ugybo1aW9yypcpNAyfp4AaABAg,1,"she's like, the ideal girl to marry, lol!",她就像是结婚的理想女孩，大声笑！
37663,UgxbnDk7esJgJDNDovt4AaABAg,1,if only our society was more like this ๐” like of u agree โค๏ธ,如果我们的社会更像是这样。
30125,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd79J4OAolN2L_,1,@icecube461 oh ya? seriously? they look so pathetically underfed! poor puppies.....look like lack of nutrition......being raised by an owner who is only focusing on making big money but not providing enough for her puppies! so selfishly neglecting the poor babies.....letting them beg for crumbs while she's eating! probably surviving eating from the crumbs that fall off her dinner table! selfish attitude!,@icecube461哦，是吗？严重地？他们看起来很可悲！可怜的小狗.....看起来像是缺乏营养……由主人抚养长大，他只专注于赚大钱，但没有为她的幼犬提供足够的筹款！如此自私地忽略了可怜的婴儿.....让他们在吃饭时乞求面包屑！可能幸免于从餐桌上掉下来的面包屑！自私的态度！
25574,Ugzmii-XQYxUB4M3U154AaABAg,1,"kkkk i liked it a lot, who could be like this in brazil ..",KKKK我非常喜欢它，谁在巴西可能会这样。
37915,Ugz6g8fQo9-RtnRomgN4AaABAg,1,how can anyone dislike this video? this is how heaven should look like. amazing.,谁能不喜欢这个视频？这就是天堂的样子。惊人的。
37757,UgzF0WVAyf7I8zUtQfJ4AaABAg.8tpjB69LBjP8uWBvzsT5lX,1,"@anteye5199 i did not write that it will definitely kill them, this is only my subjective fear. i would like her not to hurt them, they are so wonderful and attached to her so much ... he has so many great things to eat within reach, from which he can conjure up a miracle, he does not have to kill for meat ... i would like this story she had a happy ending ...",@anteye5199我没有写过它一定会杀死他们，这只是我的主观恐惧。我希望她不要伤害他们，他们是如此的奇妙，对她的依恋……他的触手可及的东西有很多很棒的东西可以吃，他可以从中想到一个奇迹，他不必为此而杀人。肉...我想要这个故事，她有一个幸福的结局...
37775,UgxgygUgaZLX0Z5wMy14AaABAg,1,its like i watching harvestmoon real life,就像我看着Harvestmoon现实生活
37780,Ugyp3tFFGjaXNIvISqB4AaABAg,1,so exquisite rural life. like qiong yao drama,好精致的乡村生活啊。跟琼瑶剧一样
25375,UgztCcYsIcQbp-bRIB54AaABAg,1,can't believe a place like her's existโค,不敢相信像她一样的地方❤
37857,UgwHVhbCpY4rgUU7Z7x4AaABAg,1,"her videos are so satisfying, like i cannot stop watching them",她的视频是如此令人满意，就像我无法停止观看它们
25303,UgxpiJzgA6cyWozX9R54AaABAg.9-UPeufRcwn912wqRJNpP7,1,"@1ynnical jealously is like decay, and spoils the world.",@1ynnical嫉妒就像衰败一样，破坏了世界。
26168,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-qD9vAj05z,1,่ฐขๆ— ่จ€ you may never open your eyes to see what china is look like now and the never appreciate the good side of the life,谢无言您可能永远不会睁开眼睛看现在中国的样子，而永远不会欣赏生活的美好一面
37196,UgyV7lhPxRNWzN8_T8R4AaABAg,1,i like everything in this video๐๐‘๐โค,我喜欢这个视频中的一切
40288,Ugz8bMiZ8Oo-JqNWF7p4AaABAg,1,bing bing me like ding don ding,Bing Bing我喜欢丁·唐·丁
27750,UgyCsaUzrDBnhpMOJn94AaABAg,1,"delicious, but afraid of the dangers of food a lot of sweetness like this",美味，但害怕食物的危险这样的甜蜜
27806,UgwlfgIyzJYH2TZ62y94AaABAg,1,why somebody donโ€t like this video? i definitely can not understand. even she told anything and just cooked!,为什么有人不喜欢这个视频？我绝对无法理解。甚至她都告诉任何东西，只是做饭！
28701,Ugz208yXjWMLMH5S7dB4AaABAg,1,i like your video very much,我喜欢你的视频非常
35960,UgzdHkzeYE3N_7VjEJB4AaABAg,1,she is like the prettiest chinese girl i have ever seen in my life dang,她就像我一生中见过的最漂亮的中国女孩
27795,Ugzi9X8V_H90u_GsyHB4AaABAg,1,this feels like a fantasy world. โก,这感觉就像一个幻想世界。 ♡
36543,Ugz7QTrkonOZqD7C39d4AaABAg,1,there is no doubt you are really blessed to have a life like this...๐๐๐,毫无疑问，您真的很幸运拥有这样的生活...
27756,UgxxxuKM_47BNljd8D14AaABAg,1,"asian are the best!!!
hit like if u agree","亚洲人是最好的！！！
如果你同意"
28733,Ugz4sRtqKia6KVcLQTx4AaABAg,1,i wish my life is like this too,我希望我的生活也是这样
35981,UgxGaJcVnLQqhTj9w7Z4AaABAg,1,she is beautiful cute talented and very amazing i like her video very much and i used to watch her video and like every time ....,她很漂亮，很有才华，我非常喜欢她的视频，我曾经看过她的视频，就像每次。
27691,UgzV_xmsifTLNr08iit4AaABAg,1,the place where you live looks peaceful ... i really like,你住的地方看起来很宁静...我真的很喜欢
35917,Ugx6GRNAgx98_RGAt1d4AaABAg,1,"nice to see in china you have ""castagne brusata'"" like we have in torino italy :) :)",很高兴在中国看到您的“ Castagne Brusata'”，就像我们在意大利的美国有的一样:) :)
36628,Ugxm8VmuqlhI1T8Dn2Z4AaABAg.8uRmcVJ_cGD8u_QtWijuE0,1,i thought the same lol. i was like wait i saw a dried sunflower heart. i guess it was both ?,我以为同样的大声笑。我就像等了，我看到了一颗干燥的葵花籽心。我想这两个是吗？
