,cid,votes,含china,含china中文翻译
20641,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE913ffVhocuG,2,"jacky phantom i am speechless. know part of a country's history and attack people from there for that reason because it has to be their fault! you, wherever you are from, please stop insulting your origin by talking to me like that. i had no ill intentions replying to you in the first place, but i don't like how you brought our conversation to this end. what does this piece of information has to do with what i said or what ziqi posted? this is not somewhere you want to brag about you newly-learned knowledge towards someone's homeland and come up showing off with them because it gets personal. many ethnic minorities are not driven out, but the people choose to convert because that fits the modern lifestyle better. plus, many southern ethnic minorities are getting awareness from the government and given protection by helping them booming tourism so that they can make a living withholding their traditions and customs. on the other hand, the u.s. undoubtedly invaded the indigenous people on n.a. and hawaii islands, and try talk to americans with that piece of information and see if they would think you so genius or the other way around. if you happen to be american, perfect, seems like my country isn't hardly as bad as yours speaking of invading, oh no, killing, indigenous people, let alone the culture. i know that i won't be able to overturn your negativity towards china and i don't want to leave you even more downside impressions on us, but i sincerely hope that you would one day drop that bias and look slightly more into the positive side -- because every country is more than what you can read in the media.",Jacky Phantom我无语。知道一个国家历史的一部分，并因此从那里攻击人们，因为这必须是他们的错！无论您来自哪里，请不要再与我交谈，不要再侮辱您的来源。首先，我对您没有任何不良意图，但是我不喜欢您将我们的谈话带到这一目标。这条信息与我所说的内容或Ziqi发布的内容有什么关系？这不是您想吹牛的地方，因为您是个人的，因为它是个人的，因此对某人的家园进行了新的知识并与他们一起炫耀。许多少数民族并没有被驱逐出境，但是人们选择convert依，因为这更适合现代生活方式。另外，许多南部少数民族正在从政府中获得认识，并通过帮助他们蓬勃发展的旅游业来保护他们，以便他们可以谋生自己的传统和习俗。另一方面，美国无疑入侵了北卡罗来纳州和夏威夷群岛的土著人民，并尝试用这片信息与美国人交谈，看看他们是否会认为您是如此天才或相反的方式。如果您碰巧是美国人，那么完美，看来我的国家并不像您说入侵的人那样糟糕，哦，不，杀人，土著人，更不用说文化了。我知道我将无法推翻您对中国的消极情绪，我不想让您对我们有更多的下行印象，但我真诚地希望您有一天会放弃这种偏见，并使您更加偏向积极方面 - 因为每个国家都比您在媒体上阅读的内容还要多。
6042,Ugy9VqH5uUoz8nRCtFl4AaABAg,2,this is just the ordinary countryside life in china. and the food she cooked very common as well. chinese people donโ€t think itโ€s very special actually. but she made these videos so good! and let the rest of the world know how we live. sheโ€s wonderful! :)) btw welcome to china! to see what the real life is like here in person.,这只是中国普通的乡村生活。她烹制的食物也很普遍。中国人实际上并不特别。但是她使这些视频很好！并让世界其他地方知道我们的生活。她很棒！ :)）顺便欢迎来到中国！看看现实的现实生活。
14873,UgyA8a9wJns_VZQwmE54AaABAg,2,"i am so hungry after watching this vedio, i wish i could go back to china immediately and my mother will prepare many delicious food",看着这个吠陀之后，我很饿，我希望我能立即回到中国，母亲会准备许多美味的食物
5483,UgyvC0zdox_RcDJUAUh4AaABAg.9GOFskXFXco9I6c9VNhtgn,2,"@minaketanmajhi2609 you mean korean? & she is chinese from sichuan, china.",@minaketanmajhi2609你是说韩语吗？她是来自中国四川的中国人。
12326,Ugwgs_WrC4uPQ5VeHr94AaABAg.96mu22T1Yfy97RbDzwNDc6,2,this is the life of ordinary people in china!,这是中国普通农村民众的生活！
22184,Ugzt5VGHr6znPhq6-k14AaABAg.9-AalxXxrkw9-u30NLG9pA,2,"wrong, people who live in the mountains in china are still very happy. my family is also in the countryside, the small mountain ditch. if the mountains are deep, the self -sufficient sunset and the sunset should be good.",错了，中国有隐居在深山里的人还是很幸福的，我家也在农村，小山沟子，如果大山深处的话，自给自足日出而作日落而息应该也还不错
4863,UgyFthJ6kfkaAiGWFQt4AaABAg,2,"kimchi is a traditional korean food.
kimchi is the traditional food of korea.
ム 韓 韓 韓 の 伝 伝。。。

the chinese have long been calling arirang (korean traditional music) and hanbok (korean traditional clothing) as china.
the chinese has long inseded that arirang (traditional korean music) and hanbok (traditional korean clothes) belong to china.
「中国 人 ン ン ン ン ン ン ン 韓 韓 韓 韓 韓 韓 韓 ン ン ン ン ン ン ン の の の 中 中 中 の の の の の だ の の の の の の て。。。

kimchi is already certified in 2001 in the international standardization organization (iso) and is different from recently registered pao chai (pickled food in sichuan).
kimchi is alredy certified by the international organization for standardization (iso) in 2001 and is different from the recently registered paochai (celebrated food in in sichuan).
ム 2001 年 証 証 証 録 録。。。。。","泡菜是传统的韩国食品。
泡菜是韩国的传统食物。
ムム韩韩伝伝伝

长期以来，中国人一直将Arirang（韩国传统音乐）和汉堡（韩国传统服装）称为中国。
长期以来，中国人一直认为阿里兰（传统的韩国音乐）和汉伯克（传统的韩国服装）属于中国。
「ンンンンンン韩韩韩韩韩韩ンンンンンンンンンンンンンののののの中中中中中中の

Kimchi已经在2001年获得国际标准化组织（ISO）的认证，与最近注册的Pao Chai（Sichuan的腌制食物）不同。
Kimchi在2001年获得国际标准化组织（ISO）认证的Alredy认证，与最近注册的Paochai（Sichuan的著名食品）不同。
2001年年年证录录录录"
14053,Ugx7pTCMhr-JavHpJcd4AaABAg,2,"she qualifies for the best cook in china. every dish, even the most simple one, is so elaborated prepared. out of this world.",她有资格获得中国最好的厨师。每道菜，甚至是最简单的菜，都是准备好准备的。离开这个世界。
13154,UgytFdIOGLrtnkYGfah4AaABAg.95xI76s2uBE96YvqDS5Gq8,2,"she became more and more popular many years ago in china and i guess now she has a team ,some professional persons help to edit videos",她多年前在中国变得越来越受欢迎，我想她现在有一个团队，一些专业人士帮助编辑视频
5138,UgwpC7C41IbwFLAFB5Z4AaABAg,2,"now im feeling why i didn't born in japan๐ญ๐ญ๐ญ
my dream country japan ๐—พโค๏ธโค๏ธ๐‘๐ป



but these are all from china๐๐๐","现在我感到为什么我没有出生在日本
我梦dream以求的日本



但是这些都是来自中国"
21808,Ugy9dqXp8LnX4nH-tM94AaABAg.9-WHSV2cBSL9-w8XKhIoy-,2,jacob rios no china is an amazing place trust me.,雅各布·里奥斯（Jacob Rios No China）是一个了不起的地方，相信我。
205,Ugxa_YXGJ7VwboyT9FN4AaABAg,2,"a beautiful and elegant woman,in the most beautiful country in the world, nobody understands china, it is the perfect society,",一个美丽而优雅的女人，在世界上最美丽的国家，没有人了解中国，它是一个完美的社会，
21801,Ugy9dqXp8LnX4nH-tM94AaABAg.9-WHSV2cBSL9-ahShRiKst,2,welcome to china!welcome!,欢迎来到中国！欢迎！
23878,Ugw3Cxr5gIo_5_pT_454AaABAg.8z_VHkNqWWZ8zdEYpgnxvg,2,"yeah, the communist china film crew",是的，共产党中国电影摄制组
17594,UgyCe6ouhf9RYhQAJrZ4AaABAg.92ifb9pcRNP92vQCl5_bvo,2,"@aria6 absolutely. it was more of an observation than criticism, the way it looks like a movie. i am almost certain it is. i would like to believe the average rural chinese homestead is so pristine but i doubt it. now i have never been to china so this is pure speculation.",@aria6绝对。这是一种观察，而不是批评，就像电影一样。我几乎可以肯定是。我想相信中国普通的乡村宅基地是如此原始，但我对此表示怀疑。现在我从未去过中国，所以这是纯粹的猜测。
24894,Ugx0U0Xc2f_91bdi1n14AaABAg,2,collab with ms yeah (1st youtuber in china) and you're the second [of subscribers],与MS Yea（中国的YouTuber第一）合作，您是[订阅者的第二个]
19873,UgwLVppGe_u_W9HKWp94AaABAg,2,"five thousand years of cultural precipitation, ordinary chinese girls are displayed in front of everyone with the most innocent image.
a trick on my hand, clean and uplifiers, skillful skills, the most authentic chai oil and salt.
with modern video interaction, it is widely announced, refueling.
take your heart and calm down china. this is beautiful everywhere.","五千年的的文化沉淀，普通的中国女孩以最纯真质朴的形象展现在大家面前。
手上的一招一式，干净麻利，技巧的娴熟，最原汁原味的柴米油盐。
有了现代视频交互方式得以广而宣之，加油
放下心，平静下来中国处处是这番美好。"
25690,UgxxWSJiwNrv5wPbMnl4AaABAg,2,"hello, li ziqi, how do you do in china? i hope so! i am your fan, you are a master of beauty and talent, a master of princess and art life. congratulations to you have learned a lot of inspiring videos from us, i really want to see your motherland",你好，李子琪，你在中国做得怎么样？我希望如此！我是你的粉丝你是美丽聪明才华，公主和艺术生活的大师。恭喜你从我们那里学到很多鼓舞人心的视频，我很想看到你们的祖国
4209,Ugz0fOYcp3pdjVTAsdt4AaABAg.9KRqwc8P-PW9Nvy4rIUBn5,2,"yes, i think of the beauty of the motherland in china",有，我在国内想着祖国的美好
7187,UgyKvog_WwPdF2uOBkl4AaABAg.9DGkefgF-dB9DOHJgVZszu,2,i live in china but haven't seen someone like her,我住在中国，但没有见过像她这样的人
12314,UgwrdD0tPznAR5A5hdl4AaABAg,2,"to own that much of land in china, she's rich as hell.",在中国拥有这么多土地，她像地狱一样富有。
19970,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92MWFgvuyZ7,2,"@drinkwaterolddriver4601 i don't think your saying is right. because for most chinese, they can not use youtube. many foreign people do not eat pork, this may be a reason or something else. so most of dislikes are from foreign people, not from china.",@drinkwaterolddriver4601我不认为您的说法是正确的。因为对于大多数中国人来说，他们无法使用YouTube。许多外国人不吃猪肉，这可能是原因或其他原因。因此，大多数不喜欢的人来自外国人，而不是来自中国。
24820,UgwwB40SUYLdqXWt2pp4AaABAg.8zCyVbqGYM08zHrDUKms38,2,"this is china,",这里是中国，
16020,UgxbBZdii4i2NCjaR3F4AaABAg,2,"in china, in real life. it is very hard to find food just in the river bank. because there are more people than the food..but anyway i wish can have such life",在中国，现实生活中。很难在河岸找到食物。因为人比食物还多。.但无论如何我希望能拥有这样的生命
31172,Ugy1nADOy5ZnzbFb7rh4AaABAg.8yVKCqZJTAJ8yVM3Aejnqg,1,"i've followed this channel since 2017, at that time it was hold by a fan. then in 2018 this channel got her authority and became the official one on youtube. however i guess she does not earn money from youtube, but her online shop selling those food products in china is quite popular, that she can make a living.",自2017年以来，我一直关注过此频道，当时它被粉丝持有。然后在2018年，该频道获得了她的权威，并成为YouTube上的官方渠道。但是，我想她不会从YouTube赚钱，但是她在中国出售这些食品的在线商店很受欢迎，她可以谋生。
