,cid,votes,time,含chinese,含chinese中文翻译
28799,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97atk_IJRFe,1,3 years ago,franz peters you have nothing to do except for leaving hate comments. why does she need to speak english? can you speak even one chinese word?,弗朗兹·彼得斯（Franz Peters）除了留下仇恨评论外，您无事可做。她为什么需要说英语？你能说一个中文单词吗？
10518,UgyH98IEJlwazVr76PN4AaABAg,1,3 years ago (edited),"beautiful aunt people don't like chinese cook e why do you welly bound the fields of jungle cooked fucking cooking all the free people to do not get dwet for blonjo
- greetings to jowo, indonesia","美丽的姨妈人们不喜欢中国厨师e e为什么你为什么要束缚丛林烹饪的田野，煮熟的所有自由人都不会为布隆霍
- 给印度尼西亚乔沃的问候"
5170,Ugy_LD1uj4SEXd9ZGBx4AaABAg,1,2 years ago,someone br? what research do chinese and japanese eating bad things?,有人吗？中国和日本人吃坏事的研究是什么？
30137,UgyWXJ06DKx-LOs2Znt4AaABAg.8yVi9OOkJYD8yW2JJDyURe,1,3 years ago,"i have been being a chinese for 56 years, i also want to know what they talking about.",我一直是中国人已有56年了，我也想知道他们在说什么。
10670,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_1PmOu6qC,1,3 years ago,"@mohammedharoon8453 im a female ...yeah whatever... its vids about chinese 5000 years cultural village heritage... not about ccp culture! pls just try not to be hypocrite , mr. mohammad
bye2!","@Mohammedharoon8453我是一位女性...是的，无论如何...关于中国5000年文化村庄遗产的视频...与CCP文化无关！请尽量不要做伪君子，穆罕默德先生
bye2！"
10679,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_BZoAN7sj,1,3 years ago (edited),@mango_kerapu also again. i did not say anything bad against her. just the truth that she is a state sponsered chinese propaganda. if she wasnt she wouldnt be state sponsered. cant be one without the other. even you admit that. so why all this rage. pms? (two people can play this game of assumption),@mango_kerapu也再次。我没有对她说不好的话。只是她是国家赞助的中国宣传的事实。如果她不这样做，她就不会发起国家赞助。不能成为一个没有另一个。即使你也承认。那为什么所有这些愤怒。 PMS？ （两个人可以玩这个假设游戏）
2277,UgwWCiTDwfrQDH_6qQd4AaABAg.9UgdwryDU5w9V9AP0-eAEJ,1,1 year ago,"@user-qo7yv1ls5q this is not a casual dish. this is all specifically planted on the side of the road. her video is a well-known chinese dish, snail powder people are great. the chinese nation has a history of 5,000 years and a vast area. fifty -six ethnic groups (even more). each nation has a variety of foods in each place. if you are interested, you can watch a documentary, china on the tip of the tongue.",@user-qo7yv1ls5q 这不算随便路边采的菜，这都是他专门种在路边的，她这个视频做的是一道很有名的中国菜，螺蛳粉，但是味道特别大，对那些口味重的人来说很棒。中华民族五千年历史，地域辽阔，五十六个民族（甚至更多），每个民族，每个地方都有各式各样的美食。你感兴趣可以看看一部纪录片，舌尖上的中国。
31499,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj19-IVJ6TFv55,1,3 years ago (edited),"franz peters i am chinese bot. i guess you are a chinese bot too since everyone here is a chinese bot. i reply you just to piss you off, so that you can come and reply and give her another view. people like you are so negative that you will not achieve anything in your life. come and reply i waiting for your contributions.",弗朗兹·彼得斯（Franz Peters）我是中国机器人。我想您也是中国机器人，因为这里的每个人都是中国机器人。我回答您只是为了让您生气，以便您可以来回复并给她另一种观点。像您这样的人是如此负面，以至于您不会在生活中取得任何成就。快来回答我等待您的贡献。
2295,UgxZ4_X5_p6z0RBAKyB4AaABAg,1,1 year ago,chinese food stops hot congratulations,中国粮食停止热祝贺
9978,UgxHcX9pGWbaU6W7vhx4AaABAg,1,3 years ago,"that looks amazing!!! why can't my chinese restaurant offer that?? tired of the same crap pork, pork, pork, chicken, beef,....bats,, cats....",看起来很棒！！！为什么我的中国餐厅不能提供？厌倦了同样的废话猪肉，猪肉，猪肉，鸡肉，牛肉，....蝙蝠，猫....
9184,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9BRDGdKwKXh,1,2 years ago,the mongolian navy should not face the chinese. we welcome everyone with goodwill. whether it is muslims or not.,蒙古海军 不要给中国人丢脸。我们欢迎所有心怀善意的人。不管是不是穆斯林。
32119,Ugweb-BontLqlBEp0ox4AaABAg.8yV-mhPshWV8yVMf95lbnd,1,3 years ago,"@madeinchina1450 yes we are indian but our ways of eating and our looks are similar to chinese,thai, indonesian,etc you can google it we are from north east india (7 sisters state)",是的
32445,Ugzmd-7nOEEY95rUZkx4AaABAg.8yUtoav-gjJ8yVH3Mtwjdy,1,3 years ago,finally see a chinese message ... not easy,终于看到中文留言……不容易
3905,UgxMlcJwKlRNcCtRuU54AaABAg,1,2 years ago,chinese cuisine looks delicious,中国美食看起来很美味
9165,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9AeC52bdu4e,1,2 years ago,is chinese so good? good,中文这么好吗？good
9060,Ugx-vzXwvmlLaEGQ8Q94AaABAg.9AVgEqHoFqK9AVpExdfM-k,1,2 years ago (edited),"because in a previous video, she mistranslated chinese pickle as ""kimchi"" which is a kind of korean pickled vegetable that some of korean think it is unique. so some korean users called her ""thief"" and lauched the dislike action.",因为在以前的视频中，她将中国泡菜误认为是“泡菜”，这是一种韩国腌制的蔬菜，其中一些韩国人认为它是独一无二的。因此，一些韩国用户称她为“小偷”，并采取了不喜欢的行动。
29094,Ugy_rv69BA1VHfhSQsR4AaABAg.8yXqMcoFbCJ8ycUd8k5ze5,1,3 years ago,are you a chinese?!,你是中国人吗？
4119,UgwsYMchjOqpzL2xtTR4AaABAg.9Kmejve8dOx9WQ7D5rVHRa,1,1 year ago,"kimchi is the only korean dish worth showing off. li's message is chinese culture. china has a longer history than korea, and korea was a chinese city-state in ancient times",泡菜是唯一值得炫耀的韩国菜。李的信息是中国文化。中国的历史比韩国更长，韩国是古代的中国城市国家
29488,UgwBJL_9kO2KOXB6ZKt4AaABAg,1,3 years ago (edited),"i just don’t get the people...more like trolls that comes in here and say liziqi is an actress, her channel is chinese propaganda, etc.

i don’t believe liziqi is an actress or that her channel is chinese propaganda. but even if liziqi is an actress or her channel is chinese propaganda, so what? that does not change the fact that liziqi is an amazing woman and her show is a super top quality show that’s informative, educational, mesmerizing, interesting, and highly entertaining.","我只是没有吸引人们...更像是在这里进来的巨魔，说Liziqi是一名女演员，她的频道是中国的宣传，等等。

我不认为利兹奇是一名女演员，也不认为她的频道是中国宣传。但是，即使利兹奇是女演员，还是她的频道是中国的宣传，那又如何呢？这并没有改变Liziqi是一位了不起的女人，她的表演是一场超级质量的表演，内容丰富，教育意义，令人着迷，有趣且非常有趣。"
9040,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9B4Xra2BqeD,1,2 years ago,chinese eats only cats dogs and bats,中国只吃猫狗和蝙蝠
8886,UgxOBgD3fQC8I59-Qdl4AaABAg.9Ah38njXB5I9BAboSvHq3O,1,2 years ago,"in fact, i think her original intention is not afraid of plagiarism at all. she just spreads a culture. and the production of the show can also be done by a team. like chinese programs on the tip of the tongue. it is another kind of brainwashing show, just to promote the mountains and the countryside.",其实我觉得她的本意根本不怕别人抄袭。她只是传播一种文化。而且节目的制作也可得出是一个团队在做。就像舌尖上的中国一样的节目。是另一种洗脑节目，宣传上山下乡而已。
32695,UgxYjD4Hg8y6G1dAJ614AaABAg.8yUovQHILbt8yV2HVIp074,1,3 years ago,ammar nasser chinese,Ammar Nasser中文
4498,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9OHJg7KGY9c,1,2 years ago,korean kimchi army bully liziqi for pickle chinese cabbage.,韩国泡菜陆军利兹奇（Liziqi）用于腌制中国白菜。
9634,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69AGdWfivXCo,1,2 years ago,"would that be a chinese homonym then? same characters, but different pronunciation and meaning?",那会是中文的同派吗？相同的字符，但是发音和含义不同？
9641,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69B5WXajCWpR,1,2 years ago,"โ€ @titavaughns7698 in china, sichuan is called tianfu because of its fertile land, rich products and pleasant climate

in history, the ""land of abundance"" mainly refers to the sichuan basin, not including the present western sichuan plateau and southwest sichuan mountains. the sichuan basin is rich in land, mild climate and abundant rainfall. especially after the dujiangyan water conservancy project was built in the qin dynasty, the chengdu plain became the ""land of heaven"" in which ""water and drought follow people's will, and they don't know the famine"". therefore, chengdu plain has become a very developed area of agriculture and handicraft industry in chinese history, and has become the main food supply base and the main source of taxation in the central dynasty ""tianfu""","@titavaughns7698在中国，四川之所以被称为田富

在历史上，“丰富的土地”主要指的是四川盆地，不包括现在的西川高原和西南四川山。四川盆地富含土地，温和的气候和丰富的降雨量。尤其是在杜吉安（Dujiangyan）的水保护协会项目建于秦朝之后，成都平原成为“天堂之地”，“水和干旱遵循人们的意志，他们不知道饥荒”。因此，成都平原已成为中国历史上农业和手工业的一个非常发达的领域，并已成为中央王朝“天富”的主要食品供应基础和主要税收来源"
2487,Ugw43SfV9af0GCGMDk14AaABAg,1,1 year ago,chinese rural areas are very beautiful,中国农村地区非常美丽
33172,Ugwg1zIlZ6O3KVoqHzZ4AaABAg.8yUf63ay4nS8yV3euQaKOY,1,3 years ago,"@lilyherbal2262 yup, shes chinese! but the way she live, the scenery around her looks like in vietnam! anw, really love her videos",@lilyherbal2262是的，她是中文！但是她的生活方式，她周围的风景在越南！ anw，真的很喜欢她的视频
34183,Ugyz6L4WppnbgY-SAQp4AaABAg,1,3 years ago,"unexpected one! thanks alot....wanna have stir fry bamboo shoots....north east indian food is quite similar to chinese.... mostly the seasonal herbs n fermented foods, though the fermentation process is little different.",意外的！非常感谢....想炒竹芽。...东北印度的食物与中国的食物非常相似。...主要是季节性草药n发酵食品，尽管发酵过程几乎没有什么不同。
29410,UgzgXPavFzgy_u4R_bN4AaABAg,1,3 years ago,best chinese propaganda.,最好的中国宣传。
10966,Ugy1k62RIPtJGwpQD1x4AaABAg.9884VUoEJVQ98AZsEPLrnu,1,3 years ago,you are chinese haters,你是中国仇恨者
31136,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO89-5dnyLO9Fx,1,3 years ago,"pamela bellesen's chinese cuisine is very profound. the most difficult ""boiling water cabbage"" is chinese cabbage and water. only the national leaders of the great hall of the people are eaten, because it is sold for 150,000 yuan. the buddha jumped the wall of more than 20 spectacles, stewed for 49 hours, and boiled a bowl of soup, which was even more legendary. the recipes for the ""manhan full said"" recipes ranked 108 dishes, and the top ten of the above two dishes were top.",Pamela Bellesen 中国料理博大精深，最难做的“开水白菜”就是大白菜加水，只提供人民大会堂国家领导们吃，因为售价15万人民币一碗据说非常好吃我到现在都吃不起，“佛跳墙”二十多种野味用缸，文火炖四十九个小时，熬出一碗汤，更是传说级别。摘自“满汉全席”食谱排名108道菜，以上两道菜TOP前十。
